ID;Название;МКБ-10;Возраст;Разработчик;Дата размещения;Статус;Ссылка;Уровни рекомендаций (A1: 5, B2: 3 и т.д.);MedIQ (кол-во);Blacklist (кол-во);Маркеры (кол-во);Препараты MedIQ;Маркеры;Чёрный список;LLM-кейсы;Метки LLM
78_2;Нейробластома;C38.2, C47.0, C47.3, C47.4, C47.5, C47.6, C47.8, C47.9, C48.0, C74.1, C74.9, C76.0, C76.1, C76.2, C76.7, C76.8, D48.3;Дети;Национальное общество детских гематологов, онкологов;24.01.2025;Применяется;https://cr.minzdrav.gov.ru/view-cr/78_2;C5: 5, B1: 5, B3: 1;7;2;1;"Антитромбин; Венам; Децит; Йодид калия; Метацин; Полимикс; Фитин";поддерживающая терапия;"Анальгин; Метамизол";19;recommendation: 17, error: 1, contraindication: 1
790_1;Дефицит 3-гидрокси-3-метилглутарил-КоА лиазы;E71.1;Взрослые, дети;Союз педиатров России, Ассоциация медицинских генетиков;19.07.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/790_1;C4: 7;4;0;0;"L-Карнитин; Карнитин; Левокарнитин; Лейцин";-;-;19;recommendation: 19
797_1;Предменструальный синдром;N94.3;Взрослые, дети;Российское общество акушеров-гинекологов;16.10.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/797_1;B1: 3, C5: 2, A1: 1, B2: 1;2;2;1;"Лютеин; Мастодинон";физиотерапия;"ГАМК; Мастодинон";19;recommendation: 10, error: 8, literature_mention: 1
112_2;Врожденная глаукома;Q15.0;Дети;"Общероссийская общественная организация ""Ассоциация врачей-офтальмологов"", Общероссийская общественная организация «Общество офтальмологов России»";21.11.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/112_2;C5: 10, C4: 4, B3: 2;7;2;6;"Клевер; Коллаген; Ноотроп; Поливитамины; ТИМ; Тимол; Уролит";"акупунктура; биорезонанс; биорезонансная терапия; мануальная терапия; рефлексотерапия; цветоимпульсная терапия";"Витамины; Поливитамины";18;recommendation: 16, error: 2
448_4;Перелом (вывих) грудного и пояснично-крестцового отдела позвоночника;M48.3, S22.0, S22.1, S23, S23.0, S23.1, S23.3, S24, S24.0, S24.1, S24.2, S32, S32.0, S32.1, S32.2, S33, S33.0, S33.1, S33.2, S33.3, S34, S34.0, S34.1, S34.2, S34.3, T91.1;Взрослые, дети;"Ассоциация нейрохирургов России, Ассоциация травматологов-ортопедов России, Общероссийская общественная организация ""Союз реабилитологов России"", Российская ассоциация хирургов-вертебрологов";05.11.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/448_4;C5: 6, B2: 3, B3: 1;9;0;2;"Вершина; Ламинар; Лигаменто; Липа; Метацин; Ночной сон; Подиум; Сенна; Уролит";"мануальная терапия; физиотерапия";-;18;recommendation: 10, error: 6, literature_mention: 2
553_2;Злокачественные новообразования губы;C00;Взрослые;"Ассоциация онкологов России, Общероссийская общественная организация ""Российское общество специалистов по опухолям головы и шеи"", Общероссийская общественная организация «Российское общество клинической онкологии», Общероссийская общественная организация «Федерация специалистов по лечению заболеваний головы и шеи», Некоммерческая организация ""Ассоциация онкологических организаций Сибири и Дальнего Востока";24.12.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/553_2;C5: 9, A1: 1, C4: 1, B1: 1;7;0;4;"Аргинин; Дуба кора; Лизоцим; Мега; Омега-3; Ромашки аптечной цветки; Шалфей";"акупунктура; поддерживающая терапия; рефлексотерапия; физиотерапия";-;18;recommendation: 15, error: 3
594_3;Расстройства аутистического спектра;F84.0, F84.1, F84.4, F84.5, F84.8, F84.9;Дети;Союз педиатров России, Ассоциация психиатров и психологов за научно-обоснованную практику;26.08.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/594_3;—;4;2;2;"Алфавит; ИнОВО; Казеин; Ноотроп";"остеопатия; рефлексотерапия";"ГАМК; Ноотропы";18;error: 15, contraindication: 3
759_1;Периодический синдром, ассоциированный с мутацией гена рецептора фактора некроза опухоли (TRAPS) (Другие уточненные нарушения с вовлечением иммунного механизма, не классифицированные в других рубриках);D89.8;Дети;Ассоциация медицинских генетиков, Ассоциация детских ревматологов;15.03.2023;Применяется;https://cr.minzdrav.gov.ru/view-cr/759_1;C5: 3, C: 2, B3: 1, C3: 1, C4: 1, 1: 1, 5: 1, C1: 1;5;0;1;"Антитромбин; ИнОВО; Метацин; Цистеин; Цитруллин";физиотерапия;-;18;recommendation: 11, error: 7
777_1;Дискогенная пояснично-крестцовая радикулопатия;G55.1, M51.1;Взрослые;Межрегиональная общественная организация «Общество по изучению боли»;07.12.2023;Применяется;https://cr.minzdrav.gov.ru/view-cr/777_1;A1: 6, B5: 2, B2: 2, A4: 1, B1: 1;1;1;3;Ламинар;"мануальная терапия; психосоматика; рефлексотерапия";Витамины;18;recommendation: 13, error: 2, literature_mention: 2, contraindication: 1
793_1;Синдром дефицита Glut1;G40.4;Взрослые, дети;Союз педиатров России, Ассоциация медицинских генетиков, Российская организация диетологов, нутрициологов и специалистов пищевой индустрии;08.08.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/793_1;C5: 3, B3: 2, B4: 1;9;2;0;"Аргинин; Гликор; Казеин; Карнитин; Левокарнитин; Магний; Поливитамины; Убидекаренон; Уролит";-;"Витамины; Поливитамины";18;recommendation: 13, error: 5
869_1;Шигеллез;A03, A03.0, A03.1, A03.2, A03.3, A03.8, A03.9, A06.0;Взрослые, дети;"Международная общественная организация ""Евро-Азиатское общество по инфекционным болезням"", Национальная ассоциация специалистов по инфекционным болезням имени академика В. И. Покровского (НАСИБ)";24.12.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/869_1;C5: 3, B3: 2, B5: 2;8;5;2;"Антиоксидант; Интести-бактериофаг; Креатин; Кремния диоксид коллоидный; Лецитин; Лигнин; Нифуроксазид; Реамберин";"антиоксидант; физиотерапия";"Анальгин; Меглюмин; Метамизол; Панкреатин; Реамберин";18;recommendation: 8, error: 5, literature_mention: 5
891_1;Острый бронхит;J20;Взрослые;"Общероссийская общественная организация ""Российское научное медицинское общество терапевтов"", Российское респираторное общество, Межрегиональная ассоциация специалистов респираторной медицины (МАСРМ)";26.12.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/891_1;C5: 14;5;3;0;"Бутамират; Горчичник; Оковит; Ренгалин; ТИМ";-;"Гвайфенезин; Ренгалин; Тимьян";18;recommendation: 14, literature_mention: 3, contraindication: 1
114_3;Макулярная дегенерация возрастная;H35.3;Взрослые;"Общероссийская общественная организация ""Ассоциация врачей-офтальмологов""";15.08.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/114_3;A2: 4, B3: 4;3;0;1;"Антиоксидант; Лютеин; Окс";антиоксидант;-;17;recommendation: 14, error: 3
137_2;Лимфома маргинальной зоны;C83.0;Взрослые;Ассоциация онкологов России, Национальное гематологическое общество, Российское общество онкогематологов;20.12.2023;Применяется;https://cr.minzdrav.gov.ru/view-cr/137_2;C4: 4, C5: 2, 3: 1;8;0;1;"Агар; Антитромбин; Венам; КСФ; Ламинар; Поливит; Потенциал; Промедол";поддерживающая терапия;-;17;recommendation: 9, error: 7, literature_mention: 1
151_2;Фолликулярная лимфома;C82, C85.9;Взрослые, дети;"Ассоциация онкологов России, Национальное общество детских гематологов, онкологов, Российское общество онкогематологов, Ассоциация содействия развитию гематологии, трансфузиологии и трансплантации костного мозга ""Национальное гематологическое общество""";18.12.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/151_2;C5: 3, B2: 3, A2: 2, A3: 1, B3: 1;6;0;1;"Антитромбин; Венам; КСФ; Стим; ТИМ; Экстимия";поддерживающая терапия;-;17;recommendation: 10, error: 4, literature_mention: 3
289_2;Внутрипеченочный холестаз при беременности;O26.6;Взрослые, дети;Российское общество акушеров-гинекологов;27.09.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/289_2;A1: 7, C4: 2, B3: 1;3;1;0;"Адеметионин; Метионин; ОН";-;Адеметионин;17;recommendation: 12, error: 3, literature_mention: 2
30_4;Злокачественное новообразование бронхов и легкого;C34;Взрослые;Ассоциация онкологов России, Общероссийская общественная организация «Российское общество клинической онкологии»;04.08.2022;Применяется;https://cr.minzdrav.gov.ru/view-cr/30_4;B2: 4, C4: 3, A1: 3, A2: 2, B1: 2;1;0;1;Фитин;поддерживающая терапия;-;17;recommendation: 17
586_3;Острые миелоидные лейкозы;C92.0, C92.3, C92.5, C92.6, C92.7, C92.8, C92.9, C93.0, C94.0, C94.2;Дети;Российское общество детских онкологов и гематологов;28.01.2025;Применяется;https://cr.minzdrav.gov.ru/view-cr/586_3;C4: 8, C2: 2, B3: 1, C5: 1;5;1;1;"B 17; Децит; Лизоцим; Полимикс; Таурин";поддерживающая терапия;Таурин;17;recommendation: 13, error: 3, literature_mention: 1
628_2;Подозрение на глаукому;H40.0;Взрослые;Общероссийская общественная организация «Общество офтальмологов России», Общероссийская общественная организация «Российское общество офтальмологов-глаукоматологов»;09.08.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/628_2;A1: 10, B2: 4, B1: 2;3;0;0;"ТИМ; Тимол; Уролит";-;-;17;recommendation: 16, contraindication: 1
683_2;Хронический тонзиллит;J31.2, J35.0, J35.8, J35.9;Взрослые, дети;Национальная медицинская ассоциация оториноларингологов;20.11.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/683_2;C5: 9;14;0;1;"Агар; Алоэ; Алтея корни; Дуба кора; Одуванчик; Прополис; Ромашки аптечной цветки; Тонзилотрен; Тысячелистник; Тысячелистника обыкновенного трава; Хвощ; Хвоща полевого трава; Чеснок; Эвкалипт";рефлексотерапия;-;17;recommendation: 15, error: 1, literature_mention: 1
717_1;ВИЧ-инфекция у беременных;B20, B21, B22, B23, B24, F02.4, O98.7, R75, Z11.4, Z20.6, Z21, Z21, Z71.7, Z83;Взрослые;"Российское общество акушеров-гинекологов, Общественная организация ""Российская ассоциация специалистов перинатальной медицины"", Национальная вирусологическая ассоциация., Московское общество акушеров-гинекологов";10.02.2022;Применяется;https://cr.minzdrav.gov.ru/view-cr/717_1;A3: 4, B3: 1;12;1;0;"АРУ; Бустер; Витегра; Даруна; Ермак; Железо; Контроллер; Ламинар; Никавир; Тазан; Фосфазид; Фосфаладин";-;Витамины;17;error: 10, recommendation: 7
718_1;Острый гепатит A (ГА) у взрослых;B15;Взрослые;Некоммерческое партнерство «Национальное научное общество инфекционистов»;10.02.2022;Применяется;https://cr.minzdrav.gov.ru/view-cr/718_1;B3: 8, C5: 3;9;5;1;"Адеметионин; Антиоксидант; Глицирризиновая Кислота+Фосфолипиды; Дудник; Инозин; Креатин; Метионин; Реамберин; Фосфолипиды";антиоксидант;"Адеметионин; Инозин; Меглюмин; Панкреатин; Реамберин";17;recommendation: 11, error: 3, literature_mention: 3
826_1;Дегенеративные заболевания позвоночника;G58.0, M19.8, M41.5, M42.1, M42.9, M43.1, M43.8, M46.0, M46.1, M47.0, M47.1, M47.2, M48.0, M50.0, M50.1, M50.2, M50.3, M50.8, M50.9, M51.0, M51.1, M51.2, M51.3, M53.0, M53.1, M53.2, M53.3, M53.8, M54.1, M54.2, M54.3, M54.4, M54.5, M54.6, M54.8, M54.9, M96.4, M96.8, M96.9, M99.4, M99.5, M99.6, M99.7, S33.6;Взрослые, дети;"Ассоциация нейрохирургов России, Ассоциация травматологов-ортопедов России, Общероссийская общественная организация ""Союз реабилитологов России"", Межрегиональная общественная организация «Ассоциация хирургов-вертебрологов», Некоммерческая организация «Ассоциация интервенционного лечения боли»";26.11.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/826_1;C5: 9, B2: 1, A1: 1;7;1;3;"Ламинар; Лекс; Лигаменто; Флекс; Флексотер; Хондроитин; Хондроитинсульфат";"мануальная терапия; рефлексотерапия; физиотерапия";Хондроитин;17;recommendation: 11, error: 6
837_1;Гастрит и дуоденит у детей;K29.0, K29.1, K29.3, K29.4, K29.5, K29.6, K29.7, K29.8, K29.9, K31.8;Дети;"Союз педиатров России, Автономная некоммерческая организация ""Общество детских гастроэнтерологов, гепатологов и нутрициологов""";11.12.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/837_1;C5: 7;4;1;1;"Гепатол; Нифурател; Синбиотик; Чеснок";физиотерапия;Трифосаденин;17;recommendation: 11, error: 5, literature_mention: 1
872_1;Отравления бензодиазепинами;T42.4;Взрослые, дети;"Межрегиональная благотворительная общественная организация ""Ассоциация клинических токсикологов, Общероссийская общественная организация «Российское общество скорой медицинской помощи»";24.12.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/872_1;C5: 8;3;4;1;"Инозин; Реамберин; Эпистат";потенцирование;"ГАМК; Инозин; Меглюмин; Реамберин";17;recommendation: 9, error: 7, literature_mention: 1
375_3;Нарушения обмена галактозы (Галактоземия);E74.2;Взрослые, дети;Союз педиатров России, Ассоциация медицинских генетиков, Общероссийская общественная организация содействия развитию неонатологии «Российское общество неонатологов»;21.08.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/375_3;C5: 7, C4: 2, 3: 1;3;0;1;"Казеин; Кальция глицерофосфат; Лактитол";гомеопат;-;16;recommendation: 11, error: 4, contraindication: 1
569_1;Желудочковые нарушения ритма. Желудочковые тахикардии и внезапная сердечная смерть;I46, I46.0, I46.1, I46.9, I47.0, I47.0, I47.2, I47.9, I49, I49.0, I49.3, I49.4, I49.8, I49.9;Взрослые, дети;"Общероссийская общественная организация «Российское кардиологическое общество», Всероссийская общественная организация ""Ассоциация детских кардиологов России"", Всероссийское научное общество специалистов по клинической электрофизиологии, аритмологии и электростимуляции, Общества холтеровского мониторирования и неинвазивной электрокардиологии";12.11.2020;Применяется;https://cr.minzdrav.gov.ru/view-cr/569_1;C5: 6, C3: 2, C4: 1;6;1;0;"Sirius; Алфавит; Лаппаконитин; Лаппаконитина гидробромид; ОверДрайв; Потенциал";-;Трифосаденин;16;recommendation: 10, error: 3, literature_mention: 3
662_2;Гипертрофия аденоидов. Гипертрофия небных миндалин.;J31.1, J35.1, J35.2, J35.3, J35.8;Взрослые, дети;Национальная медицинская ассоциация оториноларингологов;25.10.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/662_2;C4: 9, A2: 2;8;3;0;"Лизоцим; Листья грецкого ореха; Одуванчик; Полимикс; Тысячелистник; Фрамицетин; Хвощ; Цветки ромашки";-;"Имудон; Лизобакт; Линекс";16;recommendation: 11, literature_mention: 4, error: 1
109_2;Миопия;H52.1;Взрослые, дети;"Общероссийская общественная организация ""Ассоциация врачей-офтальмологов""";18.10.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/109_2;C5: 10;4;3;2;"Антиоксидант; Метилэтилпиридинол; Оковит; Поливитамины";"антиоксидант; рефлексотерапия";"Витамины; Поливитамины; Эмоксипин";15;recommendation: 10, literature_mention: 3, error: 2
156_2;Хроническая сердечная недостаточность;I50.0, I50.1, I50.9;Взрослые;"Общероссийская общественная организация «Российское кардиологическое общество», Общероссийская общественная организация ""Общество специалистов по сердечной недостаточности"", Автономная некоммерческая организация ""Национальное общество по изучению сердечной недостаточности и заболеваний миокарда"", Общероссийская общественная организация ""Российское научное медицинское общество терапевтов""";07.10.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/156_2;B2: 4, A1: 3, A3: 1;5;1;0;"Кардиотон; Кардиотоник; Контроль веса; Метазид; Цель Т";-;Предуктал;15;recommendation: 8, error: 4, literature_mention: 3
288_2;Нормальная беременность;Z32, Z33, Z34, Z35, Z36;Взрослые, дети;Российское общество акушеров-гинекологов;15.02.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/288_2;B1: 1, C1: 1, B2: 1;5;2;0;"Венам; М-3; Мега; Омега-3; Поливитамины";-;"Витамины; Поливитамины";15;error: 6, contraindication: 6, recommendation: 3
469_3;Хроническая болезнь почек (ХБП);D63.8, E21.1, E43, E44, E83.3, E83.5, E83.8, E87.2, E87.5, E89.2, N15.9, N18.1, N18.2, N18.3, N18.4, N18.5, N18.9, N19, N25.0, Z49.0, Z49.1, Z49.2;Взрослые;Национальная Ассоциация нефрологов;19.11.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/469_3;A1: 4, C5: 3;6;3;2;"Антиоксидант; Инулин; Кальция ацетат; Магний; Метазид; Фосфолипиды";"антиоксидант; дилюция";"Витамины; Меглюмин; Предуктал";15;recommendation: 8, error: 6, literature_mention: 1
580_3;Желчнокаменная болезнь;K80, K81.1, K82.8, K83.0, K83.8, K83.9;Дети;"Союз педиатров России, Общероссийская общественная организация ""Российская ассоциация детских хирургов"", Автономная некоммерческая организация ""Общество детских гастроэнтерологов, гепатологов и нутрициологов"", Национальная ассоциация экспертов по санаторно-курортному лечению";29.11.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/580_3;C5: 3, C4: 1;6;3;4;"Лецитин; Платифиллин; Потенциал; Таурин; Фосфолипиды; Холестан";"поддерживающая терапия; потенцирование; рефлексотерапия; цветотерапия";"Анальгин; Метамизол; Таурин";15;error: 8, recommendation: 5, literature_mention: 2
590_2;Психические и поведенческие расстройства, вызванные употреблением психоактивных веществ Абстинентное состояние (синдром отмены) с делирием;F10.4, F11.4, F13.4, F19.4;Взрослые;"Общественная организация ""Российское общество психиатров"", Общероссийская общественная организация ""Федерация анестезиологов и реаниматологов""";27.12.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/590_2;—;3;2;0;"Глицин; Ламинар; Цина";-;"ГАМК; Глицин";15;error: 12, literature_mention: 3
593_3;Проксимальная спинальная мышечная атрофия 5q;G12.0, G12.1;Дети;Всероссийское общество неврологов, Ассоциация профессиональных участников хосписной помощи, Ассоциация медицинских генетиков, Российская Ассоциация педиатрических центров;20.02.2023;Применяется;https://cr.minzdrav.gov.ru/view-cr/593_3;A2: 4, C5: 3, C4: 3;4;1;1;"Диплам; Железо; Золгенсма; Хаммер";физиотерапия;Витамины;15;recommendation: 10, error: 2, literature_mention: 2, contraindication: 1
655_2;Хронический бронхит;J40, J41, J42;Взрослые;Российское респираторное общество;28.12.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/655_2;C5: 11, A1: 1;7;2;1;"Антиоксидант; Горчичник; Левоментол; Лизоцим; Ренгалин; ТИМ; Терпингидрат";антиоксидант;"Ренгалин; Тимьян";15;recommendation: 12, contraindication: 2, error: 1
700_3;Сальмонеллез у взрослых;A02;Взрослые;Национальная ассоциация специалистов по инфекционным болезням имени академика В. И. Покровского (НАСИБ);17.09.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/700_3;C5: 4, B2: 2;6;2;0;"Агар; Бифидобак; Кремния диоксид коллоидный; Лигнин; Нифуроксазид; Реамберин";-;"Меглюмин; Реамберин";15;recommendation: 7, error: 5, literature_mention: 3
708_2;Гастрит и дуоденит;K29, K31.8;Взрослые;"Российская Гастроэнтерологическая Ассоциация, Ассоциация ""Эндоскопическое общество ""РЭндО"", Межрегиональная ассоциация по клинической микробиологии и антимикробной химиотерапии, Межрегиональная Общественная Организация ""Научное сообщество по содействию клиническому изучению микробиома человека""";10.07.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/708_2;B3: 1, A1: 1;6;0;1;"АГБ; В-12; Ван Би; Гепатол; С-2; Феникс";потенцирование;-;15;error: 8, literature_mention: 5, recommendation: 2
787_1;Увеиты неинфекционные;H20.0, H20.1, H20.2, H20.8, H20.9, H22.1, H30, H30.0, H30.1, H30.2, H30.8, H30.9, H35.0, H40.4, H43.3, H44.1;Взрослые, дети;"Общероссийская общественная организация ""Ассоциация врачей-офтальмологов"", Общероссийская общественная организация «Общество офтальмологов России»";12.07.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/787_1;C5: 7;7;4;1;"Антиоксидант; Инозин; Метацин; Ноотроп; Оковит; ТИМ; Тимол";антиоксидант;"Витамины; Инозин; Линекс; Ноотропы";15;error: 8, recommendation: 7
127_2;Гемофилия;D66, D67;Взрослые, дети;Национальное гематологическое общество, Национальное общество детских гематологов, онкологов;04.05.2023;Применяется;https://cr.minzdrav.gov.ru/view-cr/127_2;C5: 5, B5: 3, B2: 2;5;0;0;"Аденовейт; Иннонафактор; Нонаког альфа; Нувик; Элоктейт";-;-;14;recommendation: 10, literature_mention: 4
162_3;Головная боль напряжения (ГБН);G44, G44.2, G44.3, G44.4, G44.8, G90.8;Взрослые;"Всероссийское общество неврологов, Общероссийская общественная организация ""Союз реабилитологов России"", Межрегиональная общественная организация ""Российское общество по изучению головной боли""";28.10.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/162_3;C2: 4, C5: 2, B2: 1;2;2;6;"АГБ; Ноотроп";"акупунктура; мануальная терапия; остеопатия; психосоматика; рефлексотерапия; физиотерапия";"Анальгин; Метамизол";14;recommendation: 8, error: 5, contraindication: 1
286_2;Сахарный диабет 1 типа у взрослых;E10.2, E10.3, E10.4, E10.5, E10.6, E10.7, E10.8, E10.9;Взрослые;Российская ассоциация эндокринологов;12.07.2022;Применяется;https://cr.minzdrav.gov.ru/view-cr/286_2;C5: 1;7;0;1;"Антиоксидант; Аргинин; Брусника; Железо; Кукуруза; Подсолнечник; Черника";антиоксидант;-;14;error: 12, recommendation: 2
28_3;Ожирение;E66.0, E66.1, E66.2, E66.8, E66.9;Взрослые;Российская ассоциация эндокринологов, Общество бариатрических хирургов;25.12.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/28_3;C: 5, A1: 3, C5: 1;10;2;1;"Антиоксидант; Аргинин; Железо; Казеин; Коллаген; Мега; Омега-3; Поливитамины; Триптофан; Целлюлоза микрокристаллическая";антиоксидант;"Витамины; Поливитамины";14;recommendation: 13, error: 1
482_2;Классическая фенилкетонурия и другие виды гиперфенилаланинемии;E70.0, E70.1, E70.9;Взрослые, дети;Союз педиатров России, Ассоциация медицинских генетиков, Ассоциация Здоровье детей;18.07.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/482_2;C5: 4;4;1;0;"L-Тирозин; Аргинин; Тирозин; Триптофан";-;Витамины;14;error: 9, recommendation: 5
516_2;Хронический вирусный гепатит С;B18.2;Взрослые;Российская Гастроэнтерологическая Ассоциация, Некоммерческое партнерство «Национальное научное общество инфекционистов», Российское общество по изучению печени;14.02.2022;Применяется;https://cr.minzdrav.gov.ru/view-cr/516_2;B3: 3, C4: 1, A1: 1;3;0;0;"Бустер; Гепатол; Нарлапревир";-;-;14;recommendation: 7, error: 4, literature_mention: 3
676_2;Умственная отсталость;F70, F71, F72, F73, F78, F79;Дети;"Общественная организация ""Российское общество психиатров""";19.12.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/676_2;C4: 5, B3: 2;7;3;0;"Гопантеновая кислота; Лизин; Ноотроп; Перициазин; Тералиджен; Церебролизин; Энцефабол";-;"Пантогам; Пиритинол; Церебролизин";14;recommendation: 8, literature_mention: 4, error: 2
715_1;Цирроз и фиброз печени;K70.3, K71.7, K72, K74.0, K74.1, K74.2, K74.3, K74.4, K74.5, K74.6, K76.7;Взрослые;Российская Гастроэнтерологическая Ассоциация, Российское общество по изучению печени;21.01.2022;Применяется;https://cr.minzdrav.gov.ru/view-cr/715_1;C4: 2, B2: 1;8;0;1;"Антиоксидант; Антитромбин; Гепатол; Глутамин; Коллаген; Ламинин; М-2; Триптофан";антиоксидант;-;14;error: 8, recommendation: 4, literature_mention: 2
778_1;Скелетно-мышечные (неспецифические) боли в нижней части спины;M54.5;Взрослые;Межрегиональная общественная организация «Общество по изучению боли»;07.12.2023;Применяется;https://cr.minzdrav.gov.ru/view-cr/778_1;B1: 4, B2: 3, A1: 1;0;1;2;-;"мануальная терапия; рефлексотерапия";Витамины;14;recommendation: 11, literature_mention: 3
841_1;Гестационный сахарный диабет;O24.0, O24.1, O24.3, O24.4, O24.9;Взрослые, дети;Российская ассоциация эндокринологов, Российское общество акушеров-гинекологов;17.12.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/841_1;A3: 1;12;2;0;"1+1; Аргинин; Артишок; Брусника; Кукуруза; Мята; Папайя; Подсолнечник; Поливитамины; Рыбий жир; Черника; Чеснок";-;"Витамины; Поливитамины";14;recommendation: 8, error: 6
882_1;Токсическое действие разъедающих веществ;T54;Взрослые, дети;"Межрегиональная благотворительная общественная организация ""Ассоциация клинических токсикологов, Общероссийская общественная организация «Российское общество скорой медицинской помощи»";25.12.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/882_1;C5: 6;8;9;0;"Димефосфон; Инозин; Кожа, волосы, ногти; Мексидол; РЕМАКСОЛ; Реамберин; ЭМОКСИПИН; Эпистат";-;"Анальгин; Димефосфон; Инозин; Меглюмин; Мексидол; Метамизол; Реамберин; Ремаксол; Эмоксипин";14;recommendation: 6, literature_mention: 6, error: 2
193_2;Язвенный колит;K51;Взрослые;"Общероссийская общественная организация ""Ассоциация колопроктологов России"", Российская Гастроэнтерологическая Ассоциация";29.05.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/193_2;A2: 4, B2: 2, A1: 2, B3: 1, C4: 1;2;0;1;"Бор; Чеснок";поддерживающая терапия;-;13;recommendation: 11, error: 2
287_2;Сахарный диабет 1 типа у детей;E10.1, E10.2, E10.3, E10.4, E10.5, E10.6, E10.7, E10.8, E10.9;Дети;Российская ассоциация эндокринологов;08.07.2022;Применяется;https://cr.minzdrav.gov.ru/view-cr/287_2;A2: 2, C5: 1;8;0;1;"Антиоксидант; Аргинин; Брусника; Глутамин; Контроль веса; Кукуруза; Магния хлорида гексагидрат; Черника";антиоксидант;-;13;error: 10, recommendation: 3
294_2;Болезнь Ниманна-Пика тип С;E75.2;Взрослые, дети;Союз педиатров России, Ассоциация медицинских генетиков;14.10.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/294_2;C4: 4, C5: 2, C3: 2, C: 1;7;1;2;"7-Кето; Антиоксидант; Креатин; Кукуруза; Менадиона натрия бисульфит; Ноотроп; Холестан";"антиоксидант; физиотерапия";Витамины;13;recommendation: 9, error: 4
313_3;Острый синусит;J01;Взрослые, дети;Национальная медицинская ассоциация оториноларингологов;28.10.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/313_3;C4: 4, C5: 2, B3: 1;5;3;1;"Мать И Дитя; Полимикс; Фрамицетин; Циннабсин; Шалфей";гомеопат;"Имудон; Синупрет; Циннабсин";13;recommendation: 7, literature_mention: 5, error: 1
359_3;Бронхиальная астма;J45, J45.0, J45.1, J45.8, J45.9, J46, Z57.2, Z57.3, Z57.4, Z57.5;Взрослые, дети;Российская ассоциация аллергологов и клинических иммунологов, Союз педиатров России, Ассоциация врачей и специалистов медицины труда, Российское респираторное общество;15.11.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/359_3;B4: 1, B: 1;3;0;7;"Антиоксидант; Мега; Омега-3";"антиоксидант; гомеопат; гомеопатия; иглоукалывание; китайская медицина; поддерживающая терапия; физиотерапия";-;13;contraindication: 5, error: 4, recommendation: 4
629_2;Конъюнктивиты;H10, H10.0, H10.1, H10.2, H10.3, H10.4, H10.5, H10.8, H10.9, H11.8, P39.1;Взрослые, дети;"Общероссийская общественная организация ""Ассоциация врачей-офтальмологов"", Общероссийская общественная организация «Общество офтальмологов России»";17.09.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/629_2;C5: 3;5;5;0;"Интерферон-Офтальмо; Нобен; Окомистин; Офтальмоферон; Пиклоксидин";-;"Деринат; Идебенон; Нобен; Офтальмоферон; Ридостин";13;literature_mention: 6, error: 4, recommendation: 3
