ID,Название клинической рекомендации,МКБ-10,Возрастная группа,Разработчик,Дата размещения,Статус применения КР,Ссылка на клиническую рекомендацию,Слова из списка препаратов,Слова из списка маркеров,Слова из списка возможных маркеров
КР841,Гестационный сахарный диабет,"O24.0, O24.1, O24.3, O24.4, O24.9","Взрослые, дети","Российская ассоциация эндокринологов, Российское общество акушеров-гинекологов",17.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/841_1,"Витамины: рственные средства, влияющие на 
уровень глюкозы крови (поливитамины (АТХ-классификация А11ВА) и препараты железа (АТХ- 
классиф; Поливитамины: Лекарственные средства, влияющие на 
уровень глюкозы крови (поливитамины (АТХ-классификация А11ВА) и препараты железа (АТХ- 
классиф; клюква: а, 
смородина, 
земляника, 
клубника, 
малина, 
крыжовник, клюква, 
вишня 
Абрикос, 
персик, 
нектарин, 
слива, 
мандарин, 
гр",,
КР603,Хроническая обструктивная болезнь легких,"J44, Z57.2, Z57.3, Z57.4, Z57.5",Взрослые,"Ассоциация врачей и специалистов медицины труда, Общероссийская общественная организация ""Российское научное медицинское общество терапевтов"", Российское респираторное общество",17.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/603_3,,"антиоксидант: етилцистеин**, эрдостеин и карбоцистеин способны проявлять 
антиоксидантные свойства и могут уменьшать число обострений, но они не у",
КР131,Острые миелоидные лейкозы,"C92.0, C92.3, C92.5, C92.6, C92.7, C92.8, C92.9, C93.0, C94.0, C94.2, C94.7, C95.0",Взрослые,"Ассоциация содействия развитию гематологии, трансфузиологии и трансплантации костного мозга ""Национальное гематологическое общество""",17.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/131_2,"Таурин: аратов FLT3-ингибиторов (ингибиторов 
протеинкиназы) – мидостаурина** или #сорафениба** [8, 72]. 
#Сорафениб** 
Уровень 
убеди",,
КР43,Открытый артериальный проток (ОАП),Q25.0,"Взрослые, дети","Ассоциация сердечно-сосудистых хирургов России, Общероссийская общественная организация «Российское кардиологическое общество», Всероссийская общественная организация ""Ассоциация детских кардиологов России"", Общероссийская общественная организация содействия развитию лучевой диагностики и терапии ""Российское общество рентгенологов и радиологов""",17.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/43_2,"Предуктал: е открытого артериального протока с 
коарктацией аорты. При предуктальной коарктации аорты заподозрить ее можно из-
за наличия «д",,
КР535,Рак носоглотки,C11,Взрослые,"Ассоциация онкологов России, Общероссийская общественная организация ""Российское общество специалистов по опухолям головы и шеи"", Общероссийская общественная организация «Российское общество клинической онкологии», Общероссийская общественная организация «Федерация специалистов по лечению заболеваний головы и шеи», Некоммерческая организация ""Ассоциация онкологических организаций Сибири и Дальнего Востока",16.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/535_2,,,
КР266,Солитарная (экстрамедуллярная) плазмоцитома,"C90.2, C90.3",Взрослые,"Ассоциация онкологов России, Ассоциация содействия развитию гематологии, трансфузиологии и трансплантации костного мозга ""Национальное гематологическое общество"", Региональная общественная организация ""Общество онкогематологов""",13.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/266_2,,,
КР592,"Психические и поведенческие расстройства, вызванные употреблением психоактивных веществ. Пагубное (с вредными последствиями) употребление","F10.1, F11.1, F12.1, F13.1, F14.1, F15.1, F16.1, F17.1, F18.1, F19.1",Взрослые,"Общественная организация ""Российское общество психиатров""",13.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/592_3,"хмель: шений, проблемы с законом, 
ухудшение здоровья, тягостные похмельные состояния). При обнаружении этих признаков 
необходимо о",,
КР273,Хронический панкреатит,"K86.0, K86.1, K86.2, K86.3, K86.8, K90.3",Взрослые,"Общероссийская общественная организация ""Российское общество хирургов"", Российская Гастроэнтерологическая Ассоциация, Международная общественная организация ""Ассоциация хирургов-гепатологов"", Ассоциация ""Эндоскопическое общество ""РЭндО"", Межрегиональная Общественная Организация ""Научное сообщество по содействию клиническому изучению микробиома человека""",13.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/273_5,"Панкреатин:  заместительной ферментной терапии рекомендуется 
принимать панкреатин** во время или сразу после еды [156, 163, 164].
Уровень убе","антиоксидант: нием высокого внутрибрюшного давления), хронический дефицит антиоксидантов в 
пище, гиперхолестеринемия, сочетанное действие пищевых",
КР838,Вирусные пневмонии,"J12, J12.0, J12.1, J12.2, J12.3, J12.8, J12.9",Взрослые,"Общероссийская общественная организация ""Российское научное медицинское общество терапевтов"", Национальная ассоциация специалистов по инфекционным болезням имени академика В. И. Покровского (НАСИБ), Межрегиональная ассоциация специалистов респираторной медицины (МАСРМ)",12.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/838_1,"Ренгалин: н, комбинация антител к 
брадикинину, морфину и гистамину - ренгалин или декстрометорфан (в составе 
комбинированных ЛС)) [1- 4,; Гвайфенезин: лых 
комбинированного 
препарата, 
содержащего 
амброксол, 
гвайфенезин 
и 
левосальбутамол 
для 
симптоматической терапии продукти; Интерфероны: параты с опосредованным противовирусным 
действием (L03AB – интерфероны, L03AX - другие иммуностимуляторы, A13A-
общетонизирующие п; Меглюмин: я пациентов лечебным питанием». 
● Рекомендовано назначение Меглюмина натрия сукцината** пациентам с 
наличием поражения легких ; Реамберин: Н.К., Шешунов И.В., Мазин П.В. Адъювантная энергопротекция 
реамберином в практике интенсивной терапии и реанимации: эффективност; Меглюмина натрия сукцинат: я пациентов лечебным питанием». 
● Рекомендовано назначение Меглюмина натрия сукцината** пациентам с 
наличием поражения легких с антигипоксическ; Ренгалин: н, комбинация антител к 
брадикинину, морфину и гистамину - ренгалин или декстрометорфан (в составе 
комбинированных ЛС)) [1- 4,; Тимьян: лицирризинат (тринатриевая соль глицирризиновой 
кислоты) + Тимьяна ползучего травы экстракт (чабреца экстракт жидкий) - 
внут; Трекрезан: 23-7-11-3. – EDN PWMNKP 
90. 
Ерофеева М. К., Максакова В.Л Трекрезан – иммуномодулирующий препарат с 
выраженными адаптогенными ","антиоксидант: ациентам с 
наличием поражения легких с антигипоксической и антиоксидантной целью для 
купирования синдрома интоксикации [21,22]. 
У",
КР281,Инфекция мочевых путей,"N10, N11, N13.6, N15.1, N30, N30.0, N30.1, N30.9, N39.0",Дети,"Союз педиатров России, Межрегиональная ассоциация по клинической микробиологии и антимикробной химиотерапии, Творческое объединение детских нефрологов",12.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/281_3,"Canephron:  Sukalo A. V., Krokhina S. A., Tur N. I. (2004). The Use of Canephron as a Part of Complex 
Therapy of Urinary System Infections ",,
КР840,Врожденная диафрагмальная грыжа,"K44.0, K44.1, K44.9, Q40.1, Q79.0, Q79.1",Дети,"Общероссийская общественная организация ""Российская ассоциация детских хирургов""",12.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/840_1,"Предуктал:  до 60/мин, 
FiO2 до 100% 
Целевые показатели оксигенации: 
предуктальная SpO2 80-95% 
постдуктальная SpO2 > 70% 
Зондирование же",," АТФ : дечных 
гликозидов 
С01С 
– 
#Левосимендан**”[27] 
Открывает АТФ чувствительные K+-каналы в гладких мышцах сосудов, и, таким "
КР836,Киста почки у детей,"N28.1, Q61.0",Дети,"Союз педиатров России, Ассоциация специалистов детских урологов-андрологов",11.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/836_1,,,
КР837,Гастрит и дуоденит у детей,"K29.0, K29.1, K29.3, K29.4, K29.5, K29.6, K29.7, K29.8, K29.9, K31.8",Дети,"Союз педиатров России, Автономная некоммерческая организация ""Общество детских гастроэнтерологов, гепатологов и нутрициологов""",11.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/837_1,"фитотерапия: тной 
кишки 
и 
ГЭРБ (препараты висмута) до 2-4 
недель 
3. Фитотерапия (с седативным 
действием) и минеральные воды 
– 2 раза в го; фитотерапия: тной 
кишки 
и 
ГЭРБ (препараты висмута) до 2-4 
недель 
3. Фитотерапия (с седативным 
действием) и минеральные воды 
– 2 раза в го; фитотерапия: тной 
кишки 
и 
ГЭРБ (препараты висмута) до 2-4 
недель 
3. Фитотерапия (с седативным 
действием) и минеральные воды 
– 2 раза в го",,
КР839,Лямблиоз у детей и взрослых,A07.1,"Взрослые, дети",Национальная ассоциация специалистов по инфекционным болезням имени академика В. И. Покровского (НАСИБ),11.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/839_1,"Бендазол: , 
орнидазол, секнидазол) или производными бензимидазола (албендазол) или производными 
нитрофурана (нифурател, фуразолидон) с ц","антиоксидант: аразитами повреждений слизистых оболочек за счет 
повышения антиоксидантной способности, подавления окислительных продуктов и 
регул",
КР587,Почечная колика,"N13.2, N23",Взрослые,"Общероссийская общественная организация ""Российское общество урологов""",09.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/587_2,"Метамизол:  
НПВП (в том числе из-за аллергических реакций) применение метамизола натрия с 
целью обезболивания в качестве альтернативы НПВП; Metamizole: 0-9. 
65. Hearn L, Derry S, Moore RA. Single dose dipyrone (metamizole) for acute postoperative pain in 
adults 
// 
Cochrane 
Dat; Dipyrone: 36(13)60900-9. 
65. Hearn L, Derry S, Moore RA. Single dose dipyrone (metamizole) for acute postoperative pain in 
adults 
// 
C; Метамизол:  
НПВП (в том числе из-за аллергических реакций) применение метамизола натрия с 
целью обезболивания в качестве альтернативы НПВП",,
КР327,Острая неопухолевая кишечная непроходимость,"K31.5, K45, K46, K56.0, K56.1, K56.2, K56.3, K56.4, K56.5, K56.6, K56.7",Взрослые,"Общероссийская общественная организация ""Российское общество хирургов""",06.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/327_3,,,
КР835,Энурез,"F98.0, G96.8, N31.9, N39, N39.3, N39.4, N39.8, N39.9, R32",Дети,"Союз педиатров России, Национальная ассоциация детских реабилитологов",06.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/835_1,"Piracetam:  imipramine, 
amitriptyline, chlordiazepoxide‐clidinium and piracetam. Turkish Journal of Pediatrics 1986;28(3):171‐
5. 
135. Gep; Гопантеновая кислота: ия для лечения энуреза и других расстройств мочеиспускания: гопантеновая кислота и 
никотиноил гамма-аминомасляная кислота. 
С учетом основн",,
КР834,Болезнь Гоше,E75.2,Взрослые,"Ассоциация травматологов-ортопедов России, Национальное гематологическое общество, Некоммерческое Партнерство ""Национальное общество по изучению болезни Паркинсона и расстройств движений"", Общероссийская общественная организация содействия развитию лучевой диагностики и терапии ""Российское общество рентгенологов и радиологов"" , Российское общество детских онкологов и гематологов",05.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/834_1,,,
КР541,Неэпителиальные опухоли яичников,C56,Взрослые,"Ассоциация онкологов России, Общероссийская общественная организация «Российское общество клинической онкологии», Общероссийская общественная организация «Российское общество специалистов по профилактике и лечению опухолей репродуктивной системы»",04.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/541_2,,,
КР237,Рак пищевода и кардии,"C15, C16.0",Взрослые,"Ассоциация онкологов России, Общероссийская общественная организация «Российское общество клинической онкологии», Общероссийская общественная организация ""Российское общество онкопатологов""",04.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/237_6,,,
КР618,Забрюшинные неорганные саркомы,"C48.0, C48.8",Взрослые,"Ассоциация онкологов России, Общероссийская общественная организация «Российское общество клинической онкологии»",03.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/618_3,,,
КР76,Саркомы мягких тканей,"C22.4, C48.0, C49.0, C49.1, C49.2, C49.3, C49.4, C49.5, C49.6, C49.8, C49.9, C76.3",Дети,Российское общество детских онкологов и гематологов,03.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/76_2,,,
КР584,Герминогенные опухоли у мужчин,"C38.1, C38.2, C38.3, C38.8, C48.0, C48.8, C62.0, C62.1, C62.9, D40.1",Взрослые,"Ассоциация онкологов России, Общероссийская общественная организация ""Российское общество урологов"", Общероссийская общественная организация ""Российское общество онкоурологов"", Общероссийская общественная организация «Российское общество клинической онкологии», Общероссийская общественная организация ""Российское общество онкопатологов""",02.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/584_2,,,
КР501,Рак вульвы,"C51, D07.1",Взрослые,"Ассоциация онкологов России, Общероссийская общественная организация «Российское общество клинической онкологии», Общероссийская общественная организация «Российское общество специалистов по профилактике и лечению опухолей репродуктивной системы»",02.12.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/501_2,,,
КР602,Синдром гипоплазии левых отделов сердца,Q23.4,Дети,"Ассоциация сердечно-сосудистых хирургов России, Всероссийская общественная организация ""Ассоциация детских кардиологов России"", Общероссийская общественная организация содействия развитию лучевой диагностики и терапии ""Российское общество рентгенологов и радиологов"" , Национальная ассоциация экспертов по санаторно-курортному лечению",29.11.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/602_2,,,
КР580,Желчнокаменная болезнь,"K80, K81.1, K82.8, K83.0, K83.8, K83.9",Дети,"Союз педиатров России, Общероссийская общественная организация ""Российская ассоциация детских хирургов"", Автономная некоммерческая организация ""Общество детских гастроэнтерологов, гепатологов и нутрициологов"", Национальная ассоциация экспертов по санаторно-курортному лечению",29.11.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/580_3,"Метамизол: селективные) и ДАА 
имеют возрастные ограничения: например, метамизол натрия (противопоказание – возраст 
до 3-х месяцев или масс; Metamizole: Zerle, S. Schnitzel and K. Brune Observer-blind study with 
Metamizole versus Tramadol and Butylscopolamine in Acute Biliary Colic; Метамизол: селективные) и ДАА 
имеют возрастные ограничения: например, метамизол натрия (противопоказание – возраст 
до 3-х месяцев или масс; фитотерапия: зные методы 
реабилитации. Цветотерапия, музыкотерапия, аэрофитотерапия с эфирными маслами 
растений. - М.: ИНФРА-М, 2019. – 182 с.; Таурин: риска развития гиперлипидемии, гиперинсулинемии, ожирения. 
Таурин, содержащийся в женском молоке, улучшает всасывание липидов; фитотерапия: зные методы 
реабилитации. Цветотерапия, музыкотерапия, аэрофитотерапия с эфирными маслами 
растений. - М.: ИНФРА-М, 2019. – 182 с.; фитотерапия: зные методы 
реабилитации. Цветотерапия, музыкотерапия, аэрофитотерапия с эфирными маслами 
растений. - М.: ИНФРА-М, 2019. – 182 с.","потенцирование: мы в сторону нормализации, 
изменение вкусового стереотипа, потенцирование всех назначенных процедур, мобилизация 
воли больного ребен; потенцирование: мы в сторону нормализации, 
изменение вкусового стереотипа, потенцирование всех назначенных процедур, мобилизация 
воли больного ребен; цветотерапия: Н.В., Голубова Т.Ф. Немедикаментозные методы 
реабилитации. Цветотерапия, музыкотерапия, аэрофитотерапия с эфирными маслами 
растени",
КР67,"Злокачественные новообразования почек, почечных лоханок, мочеточника, других и неуточненных мочевых органов","C64, C65, C66, C68",Дети,Российское общество детских онкологов и гематологов,29.11.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/67_2,,,
КР833,Дисменорея,"N94.0, N94.4, N94.5, N94.6, N94.8","Взрослые, дети",Российское общество акушеров-гинекологов,28.11.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/833_1,,,
КР121,Апластическая анемия,"D61.1, D61.3, D61.8, D61.9",Взрослые,Национальное гематологическое общество,28.11.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/121_2,,,
КР642,Внематочная (эктопическая) беременность,"O00, O08",Взрослые,"Российское общество акушеров-гинекологов, Ассоциация акушерских анестезиологов-реаниматологов",28.11.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/642_2,"Стелла: арате при наличии децидуальной
реакции и/или феномена Ариас-Стелла может указывать на эктопическую беременность.
3. Лечение, в",,
КР832,Закрытые повреждения мягких тканей конечностей,"S40.0, S46.7, S46.8, S46.9, S50.0, S50.1, S56.7, S56.8, S60.0, S60.1, S60.2, S66.6, S66.7, S66.8, S66.9, S70.0, S70.1, S73.1, S76.1, S76.3, S76.4, S76.7, S79.7, S79.8, S80.0, S80.1, S80.7, S80.8, S80.9, S86.0, S86.1, S86.2, S86.3, S86.7, S86.8, S86.9, S90.0, S90.1, S90.2, S90.3, S93.2, S93.4, S93.6, S96.1, S96.7, S96.9, T06.4, T11.5, T13.5, T14.6, T93.3, T93.5","Взрослые, дети",Ассоциация травматологов-ортопедов России,28.11.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/832_1,"Actovegin:  Brock J, Golding D, Smith PM, et al. Update on the Role of Actovegin in 
Musculoskeletal Medicine: A Review of the Past 10 Years",,
КР831,Воспалительные поражения позвоночника,"A18.0, A23, B67.2, B67.6, M46.1, M46.2, M46.3, M46.4, M46.5, M46.8, M46.9, M49.0, M49.2, M49.3, M86.3, Y83.8, Y83.9",Взрослые,"Ассоциация травматологов-ортопедов России, Общероссийская общественная организация ""Союз реабилитологов России"", Межрегиональная общественная организация «Ассоциация хирургов-вертебрологов», Национальная ассоциация фтизиатров (НАФ), Российская ассоциация фтизиатров (РОФ)",28.11.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/831_1,,,
КР830,Перерыв дуги аорты. Двойная дуга аорты,Q25.4,Дети,"Ассоциация сердечно-сосудистых хирургов России, Всероссийская общественная организация ""Ассоциация детских кардиологов России"", Российское научное общество специалистов по рентгенэндоваскулярной диагностике и лечению",27.11.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/830_1,,,
КР829,Аномалия развития коронарных сосудов,Q24.5,Дети,"Ассоциация сердечно-сосудистых хирургов России, Всероссийская общественная организация ""Ассоциация детских кардиологов России"", Общероссийская общественная организация содействия развитию лучевой диагностики и терапии ""Российское общество рентгенологов и радиологов"" , Национальная ассоциация экспертов по санаторно-курортному лечению",27.11.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/829_1,,,
КР828,Грыжи передней брюшной стенки,"K40.0, K40.1, K40.2, K40.3, K40.4, K40.9, K42.0, K42.1, K42.9, K43.6, K43.7, K43.9",Дети,"Общероссийская общественная организация ""Российская ассоциация детских хирургов""",27.11.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/828_1,,,
КР536,Витамин-В12-дефицитная анемия,"D51.0, D51.1, D51.3, D51.8, D51.9, D53.1","Взрослые, дети","Национальное гематологическое общество, Общероссийская общественная организация ""Российское научное медицинское общество терапевтов"", Ассоциация специалистов и организаций лабораторной службы «Федерация лабораторной медицины», Общероссийская общественная организация «Российская ассоциация геронтологов и гериатров», РОО «Общество специалистов по нервно-мышечным заболеваниям» , Российское общество детских онкологов и гематологов",27.11.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/536_3,,,
КР540,Фолиеводефицитная анемия,D52,"Взрослые, дети","Национальное гематологическое общество, Общероссийская общественная организация ""Российское научное медицинское общество терапевтов"", Российское общество детских онкологов и гематологов",27.11.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/540_3,,,
КР145,Острые порфирии,E80.2,"Взрослые, дети","Национальное гематологическое общество, РОО «Общество специалистов по нервно-мышечным заболеваниям» , Российское общество детских онкологов и гематологов",27.11.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/145_3,,," ГАМК : за структурного сходства с тормозными 
нейротрансмиттерами - ГАМК и глутаматом, и утратой их тормозного 
эффекта в ЦНС при изб"
КР827,Макроглобулинемия Вальденстрема,C88.0,Взрослые,"Ассоциация онкологов России, Национальное гематологическое общество, Региональная общественная организация «Общество онкогематологов»",26.11.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/827_1,,,
КР130,Волосатоклеточный лейкоз,C91.4,Взрослые,"Ассоциация онкологов России, Национальное гематологическое общество, Региональная общественная организация «Общество онкогематологов»",26.11.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/130_2,,,
КР825,Норовирусный гастроэнтерит у детей,A08.1,Дети,"Межрегиональная общественная организация ""Ассоциация врачей-инфекционистов Санкт-Петербурга и Ленинградской области"", Международная общественная организация ""Евро-Азиатское общество по инфекционным болезням""",26.11.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/825_1,"Анаферон: В., Голованова А.К., 
Габбасова Ф.А. с соавт. Эффективность Анаферона детского при смешанных 
инфекциях у детей. Детские инфекци; Анаферон: В., Голованова А.К., 
Габбасова Ф.А. с соавт. Эффективность Анаферона детского при смешанных 
инфекциях у детей. Детские инфекци; Умифеновир: века, CD4 и 
гистамину аффинно очищенные у детей с 6 мес , #умифеновир** [31-33, 34, 35]. 
Рекомендуется у пациентов с НВИ при пов","аффинно очищенные: уляторы, 
содержащие #антитела к гамма-интерферону человека аффинно очищенные у детей с 6 мес, или 
иммуностимуляторы, содержащие #антите; аффинно очищенные: уляторы, 
содержащие #антитела к гамма-интерферону человека аффинно очищенные у детей с 6 мес, или 
иммуностимуляторы, содержащие #антите"," SAM :  A, Rao Puja C, Cao Shujin, Zimsen 
Stephanie R M, Albertson Sam Estimates of the global, regional, and national morbidity, 
"
КР543,Серповидно-клеточные нарушения,D57,"Взрослые, дети","Национальное гематологическое общество, Ассоциация специалистов и организаций лабораторной службы «Федерация лабораторной медицины», Российское общество детских онкологов и гематологов",26.11.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/543_3,,"дилюция: еобходимо предоперационное 
 
 
33 
введение жидкостей (гемодилюция) и вне зависимости от степени риска оперативного 
вмешатель; дилюция: еобходимо предоперационное 
 
 
33 
введение жидкостей (гемодилюция) и вне зависимости от степени риска оперативного 
вмешатель",
КР826,Дегенеративные заболевания позвоночника,"G58.0, M19.8, M41.5, M42.1, M42.9, M43.1, M43.8, M46.0, M46.1, M47.0, M47.1, M47.2, M48.0, M50.0, M50.1, M50.2, M50.3, M50.8, M50.9, M51.0, M51.1, M51.2, M51.3, M53.0, M53.1, M53.2, M53.3, M53.8, M54.1, M54.2, M54.3, M54.4, M54.5, M54.6, M54.8, M54.9, M96.4, M96.8, M96.9, M99.4, M99.5, M99.6, M99.7, S33.6","Взрослые, дети","Ассоциация нейрохирургов России, Ассоциация травматологов-ортопедов России, Общероссийская общественная организация ""Союз реабилитологов России"", Межрегиональная общественная организация «Ассоциация хирургов-вертебрологов», Некоммерческая организация «Ассоциация интервенционного лечения боли»",26.11.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/826_1,"Хондроитин: являются причиной дегидратации (из-за снижения концентрации
хондроитинсульфатов). При этом пульпозное ядро теряет гидростатические",,
КР824,Хронический вирусный гепатит С (ХВГС) у детей,B18.2,Дети,"Межрегиональная общественная организация ""Ассоциация врачей-инфекционистов Санкт-Петербурга и Ленинградской области"", Международная общественная организация ""Евро-Азиатское общество по инфекционным болезням"", Российское общество детских гастроэнтерологов, гепатологов и нутрициологов",25.11.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/824_1,"пальма: л). У подростков возможны слабовыраженные телеангиэктазии и пальмарная эритема
(эритема ладоней). Синдром цитолиза выражен отч; Фосфоглив: исследования PHG-M3/P01-09 «ОРИОН» по применению препарата
«Фосфоглив» в комбинированной терапии больных хроническим гепатитом С.; Фосфоглив: исследования PHG-M3/P01-09 «ОРИОН» по применению препарата
«Фосфоглив» в комбинированной терапии больных хроническим гепатитом С.",,
КР157,Острый инфаркт миокарда с подъемом сегмента ST электрокардиограммы,"I21.0, I21.1, I21.2, I21.3, I21.9, I22.0, I22.1, I22.8, I22.9, I24.0, I24.8, I24.9",Взрослые,"Ассоциация сердечно-сосудистых хирургов России, Общероссийская общественная организация «Российское кардиологическое общество», Российское научное общество специалистов по рентгенэндоваскулярной диагностике и лечению, Общероссийская общественная организация «Российское общество скорой медицинской помощи»",25.11.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/157_5,"Трифосаденин: ока (ФРК) с применением гиперемических 
агентов, таких как #трифосаденин (внутривенно (в/в) 140 или 180 мкг/кг/мин или 
интракоронар",,
КР703,Сальмонеллез у детей,"A02.0, A02.1, A02.2, A02.8, A02.9",Дети,"Межрегиональная общественная организация ""Ассоциация врачей-инфекционистов Санкт-Петербурга и Ленинградской области"", Международная общественная организация ""Евро-Азиатское общество по инфекционным болезням""",25.11.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/703_2,"Ликопид:  С. 53-55.
37. Милютина Л.Н., Голубев А.О. Опыт применения Ликопида для санации постинфекционного
сальмонеллезного бактерионоси; Глюкозаминилмурамилдипептид: рукцией:
иммуноглобулин человека нормальный [IgG+IgA+IgM], #глюкозаминилмурамилдипептид 1 мг/
сутки 10 дней, тремя курсами с перерывом 20 дней; азо; Азоксимера бромид: тид 1 мг/
сутки 10 дней, тремя курсами с перерывом 20 дней; азоксимера бромид**    в стандартных
дозах 10 дней в соответствии с инструкци",,
КР821,Химический ожог пищевода,"T28.5, T28.6, T28.7","Взрослые, дети","Союз педиатров России, Общероссийская общественная организация ""Российская ассоциация детских хирургов"", Общероссийская общественная организация ""Российское общество хирургов"", Автономная некоммерческая организация ""Общество детских гастроэнтерологов, гепатологов и нутрициологов"", Региональная Общественная организация ""Национальное общество Торакальных Хирургов""",25.11.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/821_1,"Метамизол: паратов (кеторолак**), других 
анальгетиков и антипиретиков метамизол натрия по 1 мл 3-4 раза в сутки), алкалоидов 
белладонны, т; Меглюмин: лючается применение препаратов на основе янтарной 
кислоты (меглюмина натрия сукцинат 1,5%) [19,52]. Применение растворов на осн; Метамизол: паратов (кеторолак**), других 
анальгетиков и антипиретиков метамизол натрия по 1 мл 3-4 раза в сутки), алкалоидов 
белладонны, т; Меглюмина натрия сукцинат: лючается применение препаратов на основе янтарной 
кислоты (меглюмина натрия сукцинат 1,5%) [19,52]. Применение растворов на основе 
гидроксиэтил",,
КР656,Эмфизема легких,J43,Взрослые,Российское респираторное общество,25.11.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/656_2,,,
КР284,Катаракта старческая,"H25.0, H25.1, H25.2, H25.8, H25.9",Взрослые,"Общероссийская общественная организация ""Ассоциация врачей-офтальмологов"", Общероссийская общественная организация «Общество офтальмологов России»",25.11.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/284_2,"Аденозинтрифосфат: окращений 
АГО — антиглаукоматозная операция 
АТФ-синтаза — аденозинтрифосфатсинтаза 
ВГД — внутриглазное давление 
ВМД — возрастная маку",,
КР820,"Аномалии объема амниотической жидкости (многоводие, маловодие)","O40, O41, O41.0, O41.8, O41.9","Взрослые, дети",Российское общество акушеров-гинекологов,25.11.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/820_1,,,
КР822,Аномалии родовой деятельности,"O62, O63, O75.8","Взрослые, дети",Российское общество акушеров-гинекологов,25.11.2024,Применяется,https://cr.minzdrav.gov.ru/view-cr/822_1,,,
